Column1;Column2;Column3
EMAIL;SUBJECT;MESSAGE
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com,asdasdas,asdasdasdasdsa
francomorales0001@gmail.com,asdasdas,asdasdasdasdsa
francomorales0001@gmail.com,asdasdas,asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
francomorales0001@gmail.com;asdasdas;asdasdasdasdsa
